,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Princesa Isabel,BR,-7.7367,-37.9933,64.96,90,77,3.91,broken clouds
136,Kruisfontein,ZA,-34.0033,24.7314,49.78,89,0,3.65,clear sky
137,Aktash,RU,50.3,87.7333,47.32,19,100,3.49,overcast clouds
138,Wewak,PG,-3.5534,143.6268,84.78,70,63,6.53,broken clouds
139,Ocos,GT,14.5094,-92.1933,80.78,73,3,4.16,clear sky
140,Torbay,CA,47.6666,-52.7314,47.39,93,100,20.71,overcast clouds
141,Chokurdakh,RU,70.6333,147.9167,30.7,89,99,11.03,overcast clouds
142,Hargeysa,SO,9.56,44.065,77.07,31,92,2.93,overcast clouds
143,Moramanga,MG,-18.9333,48.2,63.73,85,30,2.71,scattered clouds
144,Hobart,AU,-42.8794,147.3294,60.26,78,75,0.0,broken clouds
145,Husavik,IS,66.0449,-17.3389,31.08,92,99,7.05,overcast clouds
146,Zeulenroda,DE,50.65,11.9833,63.36,64,37,11.48,scattered clouds
147,Pawayan,IN,28.0667,80.1,101.7,26,0,6.67,clear sky
148,Codrington,AU,-38.2667,141.9667,61.16,80,75,7.49,broken clouds
149,Kavieng,PG,-2.5744,150.7967,83.1,76,96,11.27,light rain
150,Sarka Ghat,IN,31.7,76.7333,94.55,22,0,4.52,clear sky
151,Sao Filipe,CV,14.8961,-24.4956,72.1,81,32,6.06,scattered clouds
152,Hithadhoo,MV,-0.6,73.0833,82.67,77,100,12.84,overcast clouds
153,Rivers,CA,50.0308,-100.2403,50.95,75,100,8.3,overcast clouds
154,Saint-Philippe,RE,-21.3585,55.7679,76.12,79,72,6.93,broken clouds
155,Abilene,US,32.4487,-99.7331,84.42,44,0,19.57,clear sky
156,Nova Odesa,UA,47.3078,31.7851,59.74,61,33,9.26,scattered clouds
157,Provideniya,RU,64.3833,-173.3,37.51,81,0,13.42,clear sky
158,Ayan,RU,56.45,138.1667,33.57,91,100,22.08,overcast clouds
159,Makrana,IN,27.05,74.7167,104.97,10,0,14.16,clear sky
160,Ugoofaaru,MV,5.6667,73.0,83.16,79,56,16.44,broken clouds
161,Bela,IN,25.9333,81.9833,104.77,23,2,4.54,clear sky
162,Carnarvon,AU,-24.8667,113.6333,82.47,47,100,31.07,overcast clouds
163,Cherskiy,RU,68.75,161.3,28.02,75,63,6.46,broken clouds
164,Mehamn,NO,71.0357,27.8492,37.31,100,100,9.22,moderate rain
165,Srednekolymsk,RU,67.45,153.6833,33.21,98,68,9.26,broken clouds
166,Kumylzhenskaya,RU,49.8809,42.5898,51.98,72,100,16.4,overcast clouds
167,Raton,US,36.9034,-104.4391,71.94,20,40,9.22,scattered clouds
168,Cherdyn,RU,60.403,56.4787,49.32,62,73,10.89,broken clouds
169,Guerrero Negro,MX,27.9769,-114.0611,58.98,75,22,18.63,few clouds
170,Lompoc,US,34.6391,-120.4579,52.59,81,0,13.8,clear sky
171,Kabompo,ZM,-13.5927,24.2008,56.03,77,0,3.36,clear sky
172,Cape Town,ZA,-33.9258,18.4232,52.88,93,75,6.91,broken clouds
173,Staryy Nadym,RU,65.6118,72.6842,45.68,79,73,6.93,broken clouds
174,Bougouni,ML,11.417,-7.479,82.35,49,48,6.29,scattered clouds
175,Flint,US,43.0125,-83.6875,67.95,56,0,0.0,clear sky
176,Bouafle,CI,6.9904,-5.7442,73.18,99,100,2.1,overcast clouds
177,Taoudenni,ML,22.6783,-3.9836,84.96,14,75,17.87,broken clouds
178,Sakakah,SA,29.9697,40.2064,69.37,21,0,8.99,clear sky
179,Krasnoshchekovo,RU,51.6708,82.7289,67.68,33,95,7.94,overcast clouds
180,Khatanga,RU,71.9667,102.5,26.91,85,82,17.9,broken clouds
181,Klaksvik,FO,62.2266,-6.589,41.92,73,100,9.13,overcast clouds
182,Luderitz,NA,-26.6481,15.1594,55.33,73,0,10.87,clear sky
183,Qaqortoq,GL,60.7167,-46.0333,31.3,91,100,14.74,snow
184,Fillmore,US,43.6666,-92.1002,79.93,73,0,16.11,clear sky
185,Ketchikan,US,55.3422,-131.6461,48.18,87,75,0.0,broken clouds
186,San Cristobal,VE,7.7669,-72.225,68.18,97,96,2.3,overcast clouds
187,Chuy,UY,-33.6971,-53.4616,53.13,80,65,7.94,broken clouds
188,Catio,GW,11.2833,-15.25,75.02,82,32,6.26,scattered clouds
189,Nisia Floresta,BR,-6.0911,-35.2086,76.01,93,100,3.09,overcast clouds
190,Longyearbyen,SJ,78.2186,15.6401,19.24,73,0,11.5,clear sky
191,Xinyu,CN,27.8043,114.9334,66.36,96,100,3.67,light rain
192,Sao Domingos Do Maranhao,BR,-5.5758,-44.3853,72.66,97,95,1.39,overcast clouds
193,Kirkland Lake,CA,48.1446,-80.0377,55.69,76,51,1.34,broken clouds
194,Balaghat,IN,21.8,80.1833,98.85,34,40,7.36,scattered clouds
195,Sudzha,RU,51.1976,35.2726,55.24,70,100,9.17,overcast clouds
196,Sitka,US,57.0531,-135.33,51.69,50,0,9.22,clear sky
197,Ondangwa,NA,-17.9167,15.95,58.51,38,0,8.23,clear sky
198,Kamyshin,RU,50.0983,45.416,47.95,90,100,14.16,overcast clouds
199,Saint-Louis,SN,16.3333,-15.0,81.64,31,5,7.65,clear sky
200,Senneterre,CA,48.3835,-77.2328,56.59,70,15,6.17,light rain
201,Makakilo City,US,21.3469,-158.0858,80.92,55,0,16.11,clear sky
202,Kemijarvi,FI,66.7131,27.4306,40.24,91,93,4.45,overcast clouds
203,Cidreira,BR,-30.1811,-50.2056,58.91,84,6,10.18,clear sky
204,Narayanpet,IN,16.7333,77.5,88.97,52,100,16.71,overcast clouds
205,Tunggol,PH,5.8446,121.1544,85.3,72,97,6.76,heavy intensity rain
206,Ponta Do Sol,PT,32.6667,-17.1,66.83,80,17,2.95,few clouds
