City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Makat,KZ,2022-05-10 23:29:29,47.6469,53.3463,46.72,63,0,7.27
243,Nicolas Bravo,MX,2022-05-10 23:33:22,18.45,-88.9167,85.93,47,25,8.5
244,Shieli,KZ,2022-05-10 23:33:23,44.1667,66.75,59.63,50,1,6.24
245,Batagay,RU,2022-05-10 23:33:24,67.6333,134.6333,22.48,66,60,5.1
246,Chabahar,IR,2022-05-10 23:33:24,25.2919,60.643,81.36,75,7,11.21
247,Ust-Kuyga,RU,2022-05-10 23:33:25,70.0167,135.6,16.45,84,100,10.89
248,Rock Sound,BS,2022-05-10 23:32:04,24.9,-76.2,75.15,67,3,12.77
249,San Cristobal,VE,2022-05-10 23:30:17,7.7669,-72.225,75.38,99,99,3.27
250,Nanakuli,US,2022-05-10 23:33:26,21.3906,-158.1547,84.15,53,40,13.8
251,Portland,US,2022-05-10 23:30:16,45.5234,-122.6762,63.9,43,40,5.75
252,Leh,IN,2022-05-10 23:33:28,34.1667,77.5833,45.5,44,2,5.08
253,Dingle,PH,2022-05-10 23:29:19,10.9995,122.6711,81.07,79,75,5.68
254,Llanes,ES,2022-05-10 23:33:29,43.4198,-4.7549,61.48,79,11,3.83
255,Chaohu,CN,2022-05-10 23:33:29,31.6,117.8667,63.37,85,100,7.52
256,Saint Anthony,US,2022-05-10 23:29:30,45.0205,-93.218,80.22,26,0,9.22
257,Chicama,PE,2022-05-10 23:33:30,-7.8447,-79.1469,63.14,77,20,5.3
258,Kirn,DE,2022-05-10 23:33:31,49.7833,7.45,60.42,81,86,5.19
259,Nizhnyaya Tura,RU,2022-05-10 23:33:31,58.6293,59.8118,51.75,74,100,7.47
260,Banki,IN,2022-05-10 23:33:32,20.3833,85.5333,80.71,85,93,4.99
261,Bijie,CN,2022-05-10 23:33:33,27.3125,105.2942,59.68,97,99,2.15
262,Kaitangata,NZ,2022-05-10 23:33:33,-46.2817,169.8464,52.88,63,10,8.57
263,Mugur-Aksy,RU,2022-05-10 23:33:34,50.35,90.5,26.89,57,0,5.19
264,Alice Springs,AU,2022-05-10 23:33:35,-23.7,133.8833,51.35,58,0,5.75
265,Port Lincoln,AU,2022-05-10 23:30:16,-34.7333,135.8667,61.21,63,0,8.39
266,Homer,US,2022-05-10 23:32:22,59.6425,-151.5483,51.69,29,0,21.0
267,Harnosand,SE,2022-05-10 23:33:36,62.6323,17.9379,48.22,92,99,11.81
268,Teruel,ES,2022-05-10 23:33:37,40.6667,-0.6667,53.49,61,77,6.8
269,Tuatapere,NZ,2022-05-10 23:33:37,-46.1333,167.6833,54.66,59,12,3.85
270,Karatuzskoye,RU,2022-05-10 23:33:38,53.6072,92.8667,35.35,59,2,2.28
271,Almonte,ES,2022-05-10 23:33:38,37.2647,-6.5167,67.6,53,6,6.58
272,Bafq,IR,2022-05-10 23:33:39,31.6128,55.4107,70.03,13,0,3.11
