City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
367,Tezu,IN,78.06,overcast clouds,27.9167,96.1667,Circuit House
368,Kilindoni,TZ,80.31,few clouds,-7.9139,39.6668,Bustani B&B
371,Nago,JP,85.05,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
375,Rach Gia,VN,88.56,broken clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
376,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
382,Tutoia,BR,76.91,overcast clouds,-2.7619,-42.2744,Pousada Guará's
383,Languyan,PH,86.85,overcast clouds,5.2618,120.0807,
385,Bambanglipuro,ID,86.41,overcast clouds,-7.95,110.2833,Puri Brata
389,Cabo San Lucas,MX,78.62,broken clouds,22.8909,-109.9124,Vista Roof Restaurant
403,Agadez,NE,77.9,clear sky,19.75,10.25,
406,Ankang,CN,76.75,scattered clouds,32.68,109.0172,安琪酒店
411,Sinnamary,GF,76.78,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
413,Dodge City,US,76.23,clear sky,37.7528,-100.0171,Windsor Inn & Suites
422,Hit,IQ,79.0,clear sky,33.6416,42.8251,ࢪُبَمـا ؏ُـمَـࢪ
423,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
425,Hope,US,78.85,clear sky,33.6671,-93.5916,Best Western Hope
432,Ardakan,IR,78.67,clear sky,32.31,54.0175,Ardakan Hotel
439,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
441,Bilma,NE,85.86,clear sky,18.6853,12.9164,Expeditions Ténére voyages
445,Saint-Joseph,RE,77.38,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
447,Ambilobe,MG,76.48,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
450,Pochutla,MX,81.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
455,Baghdad,IQ,83.26,clear sky,33.3406,44.4009,Baghdad Hotel
457,Itarema,BR,76.62,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
459,Kieta,PG,84.45,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
462,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
464,Dwarka,IN,86.99,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
469,Kati,ML,83.32,broken clouds,12.7441,-8.0726,Lingot d’or
472,Trincomalee,LK,89.82,broken clouds,8.5711,81.2335,Welcombe Hotel
475,Micheweni,TZ,80.38,scattered clouds,-4.9667,39.8333,
480,Caruray,PH,85.41,broken clouds,10.3094,119.0128,
482,Hobyo,SO,84.99,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
484,Do Gonbadan,IR,78.89,clear sky,30.3586,50.7981,شبکه بهداشت و درمان گچساران
488,Durant,US,77.36,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
490,Oriximina,BR,75.25,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
496,Hakui,JP,77.65,overcast clouds,36.8833,136.7833,KYUKAMURA NOTO-CHIRIHAMA
504,Garissa,KE,79.39,few clouds,-0.4536,39.6401,Sharif Plaza Hotel
508,Safaga,EG,79.5,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
511,Kutum,SD,79.92,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
512,Itaueira,BR,77.74,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
516,Mumford,GH,80.42,overcast clouds,5.2618,-0.759,Spanish Villa
518,Mackay,AU,77.68,moderate rain,-21.15,149.2,International Lodge Motel
519,Dutse,NG,80.65,broken clouds,11.7594,9.3392,Central Mosque Galamawa
